Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
950,4961,Isai Jacobson IV,Mr.,Male,1,Single,7,2020-05-11,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1987,243.0,458.0,111757.2394117647,,,,
951,3872,Maybell Okuneva,Mr.,Male,1,Single,27,2018-04-01,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1995,,,,,,,
952,50022,Benjamin Willms,Mr.,Male,1,Married,120,2020-05-18,2020-10-08 00:00:00,Inactive,2020-10-08 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,HR Manager,1956,,,,,,,
953,2722,Orland Hansen,Mr.,Male,1,Married,29,2019-01-01,2020-09-24 00:00:00,Inactive,2020-09-24 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Cook,1976,,,,,,,
958,75016,Mariana Borer,Mr.,Male,1,Married,1,2019-10-08,2020-06-17 00:00:00,Inactive,2020-06-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,,,,,,,
959,5157,Ellis Mayer,Mr.,Male,1,Married,1,2021-02-01,2021-04-29 00:00:00,Inactive,2021-04-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1984,37.0,35.0,29755.15,,,,
961,75023,Cecile Jacobson,Mr.,Male,1,Married,31,2019-10-08,2020-03-11 00:00:00,Inactive,2020-03-11 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,,,,,,,
962,5158,Krystal Dietrich,Mr.,Male,1,Married,31,2021-02-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997,158.0,145.0,30195.05,,,,
965,75028,Mr Connor Hauck,Mr.,Male,1,Married,31,2019-10-25,2020-06-10 00:00:00,Inactive,2020-06-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
968,193116,Sammy Heidenreich,Mr.,Male,1,Married,31,2020-12-08,2021-04-29 00:00:00,Inactive,2021-04-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,25.0,23.0,37171.66666666666,,,,
969,5165,Cristopher Keebler,Mr.,Male,1,Married,31,2021-02-01,2021-03-31 00:00:00,Inactive,2021-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,3.0,5.0,24928.0,,,,
970,75150,Prof Freeda Strosin II,Mr.,Male,1,Married,53,2019-11-22,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Pipe Fitter,1993,,,,,,,
971,4809,Eula Klein,Mr.,Male,1,Married,22,2019-06-03,2021-04-10 00:00:00,Inactive,2021-04-10 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1985,22.0,24.0,,,,,
973,189011,Dario Romaguera,Mr.,Male,5,Single,31,2020-02-14,2020-03-17 00:00:00,Inactive,2020-03-17 00:00:00,\N,\N,Labour,Contarct Basis,Muslim,Unskilled Labor,2003,,,,,,,
975,4881,Julius Douglas,Mr.,Male,1,Single,128,2019-09-23,2021-11-06 00:00:00,Inactive,2021-11-06 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Construction Supervisor,1996,226.0,242.0,68799.1675,,,,
976,70052,Dr Hettie Robel,Mr.,Male,1,Married,31,2019-08-01,2020-04-24 00:00:00,Inactive,2020-04-24 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997,,,,,,,
977,70058,Domingo Harber I,Mr.,Male,1,Married,31,2019-08-01,2020-05-30 00:00:00,Inactive,2020-05-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996,,,,,,,
979,75042,Mrs Alvera McClure Sr,Mr.,Male,1,Married,31,2019-10-14,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968,,,,,,,
983,5161,Magnus Gerlach III,Mr.,Male,1,Married,31,2021-02-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985,57.0,42.0,25761.6,,,,
984,1079,Jamel Davis,Mr.,Male,1,Married,32,2010-07-16,2020-06-27 00:00:00,Inactive,2020-06-27 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,OPE-Compresure Breaker,1959,,,,,,,
986,4986,Zoey Rempel,Mr.,Male,1,Married,31,2020-06-01,2021-02-19 00:00:00,Inactive,2021-02-19 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992,0.0,2.0,57428.84,,,,
987,4987,Dr Waylon Cassin DVM,Mr.,Male,1,Married,1,2020-06-01,2021-07-27 00:00:00,Inactive,2021-07-27 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1996,68.0,71.0,67375.07666666668,,,,
988,75062,Horace Connelly,Mr.,Male,1,Married,31,2019-10-15,2020-06-23 00:00:00,Inactive,2020-06-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969,,,,,,,
